index,verbatimScientificName,locality,stateProvince,decimalLatitude,decimalLongitude,eventDate,basisOfRecord,institutionCode
19830,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.698239,-103.749539,2011-04-19,HUMAN_OBSERVATION,ENCB-IPN
19831,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.698239,-103.749539,2011-04-19,HUMAN_OBSERVATION,ENCB-IPN
19832,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.716886,-103.750119,2011-10-28,HUMAN_OBSERVATION,ENCB-IPN
19833,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.683692,-103.772994,2011-10-31,HUMAN_OBSERVATION,ENCB-IPN
19834,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.686044,-103.745775,2006-08-29,HUMAN_OBSERVATION,ENCB-IPN
19835,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.683692,-103.772994,2011-10-31,HUMAN_OBSERVATION,ENCB-IPN
19836,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.686339,-103.7659,2011-04-18,HUMAN_OBSERVATION,ENCB-IPN
19837,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.692411,-103.741019,2008-11-01,HUMAN_OBSERVATION,ENCB-IPN
19838,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.764122,-103.782872,2011-04-12,HUMAN_OBSERVATION,ENCB-IPN
19839,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.698044,-103.749069,2011-10-23,HUMAN_OBSERVATION,ENCB-IPN
19840,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.700839,-103.746606,2004-06-29,HUMAN_OBSERVATION,ENCB-IPN
19841,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.686044,-103.745775,2006-06-25,HUMAN_OBSERVATION,ENCB-IPN
19842,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.683692,-103.772994,2011-10-31,HUMAN_OBSERVATION,ENCB-IPN
19843,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.698239,-103.749539,2011-04-19,HUMAN_OBSERVATION,ENCB-IPN
19844,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.683692,-103.772994,2011-10-31,HUMAN_OBSERVATION,ENCB-IPN
19845,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.764122,-103.782872,2011-04-12,HUMAN_OBSERVATION,ENCB-IPN
19846,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.685347,-103.760825,2011-04-19,HUMAN_OBSERVATION,ENCB-IPN
19847,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.686639,-103.7682,2010-05-10,HUMAN_OBSERVATION,ENCB-IPN
19848,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.762614,-103.786992,2011-11-02,HUMAN_OBSERVATION,ENCB-IPN
19849,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.686339,-103.7659,2011-04-18,HUMAN_OBSERVATION,ENCB-IPN
19850,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.762614,-103.786992,2011-11-02,HUMAN_OBSERVATION,ENCB-IPN
19851,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.764122,-103.782872,2011-04-12,HUMAN_OBSERVATION,ENCB-IPN
19852,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.771419,-103.749997,2011-10-31,HUMAN_OBSERVATION,ENCB-IPN
19853,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.762614,-103.786992,2011-11-02,HUMAN_OBSERVATION,ENCB-IPN
19854,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.688236,-103.750653,2010-11-06,HUMAN_OBSERVATION,ENCB-IPN
19855,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.764122,-103.782872,2011-04-12,HUMAN_OBSERVATION,ENCB-IPN
19856,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.764122,-103.782872,2011-04-12,HUMAN_OBSERVATION,ENCB-IPN
19857,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.771419,-103.749997,2011-10-31,HUMAN_OBSERVATION,ENCB-IPN
19858,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.768467,-103.786094,2010-11-05,HUMAN_OBSERVATION,ENCB-IPN
19859,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.698239,-103.749539,2011-04-19,HUMAN_OBSERVATION,ENCB-IPN
19860,Sylvilagus audubonii,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.673933,-103.790967,2010-11-13,HUMAN_OBSERVATION,ENCB-IPN
19861,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.698239,-103.749539,2011-04-19,HUMAN_OBSERVATION,ENCB-IPN
19862,Sylvilagus audubonii,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.673933,-103.790967,2010-11-13,HUMAN_OBSERVATION,ENCB-IPN
19863,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.692411,-103.741019,2008-11-01,HUMAN_OBSERVATION,ENCB-IPN
19864,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.688236,-103.750653,2010-11-06,HUMAN_OBSERVATION,ENCB-IPN
19865,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.674186,-103.785889,2011-04-18,HUMAN_OBSERVATION,ENCB-IPN
19866,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.698239,-103.749539,2011-04-19,HUMAN_OBSERVATION,ENCB-IPN
19867,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.764122,-103.782872,2011-04-12,HUMAN_OBSERVATION,ENCB-IPN
19868,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.686044,-103.745775,2006-06-25,HUMAN_OBSERVATION,ENCB-IPN
19869,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.764122,-103.782872,2011-04-12,HUMAN_OBSERVATION,ENCB-IPN
19870,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.686044,-103.745775,2006-08-29,HUMAN_OBSERVATION,ENCB-IPN
19871,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.768467,-103.786094,2011-04-12,HUMAN_OBSERVATION,ENCB-IPN
19872,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.693069,-103.740822,2011-04-20,HUMAN_OBSERVATION,ENCB-IPN
19873,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.757353,-103.770394,2010-11-06,HUMAN_OBSERVATION,ENCB-IPN
19874,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.686044,-103.745775,2006-08-29,HUMAN_OBSERVATION,ENCB-IPN
19875,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Durango,26.698239,-103.749539,2011-04-19,HUMAN_OBSERVATION,ENCB-IPN
19876,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.764122,-103.782872,2011-04-12,HUMAN_OBSERVATION,ENCB-IPN
19877,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.768467,-103.786094,2011-04-13,HUMAN_OBSERVATION,ENCB-IPN
19878,Lepus californicus,RESERVA DE LA BIOSFERA DE MAPIMI.,Chihuahua,26.762075,-103.782008,2005-10-02,HUMAN_OBSERVATION,ENCB-IPN
